first_trade_ts,last_trade_ts,profiling
1722470400.0434,1722470459.8415,"{'total_volume': 10093026.498399997, 'delta': -2242929.213599995, 'trade_count': 1836, 'buy_trade_count': 936, 'sell_trade_count': 900, 'val': 64600, 'vah': 64650, 'poc': 64600, 'poc_idx': 0, 'poc_volume': 6817716, 'bid_volume': 3924984.0168999988, 'ask_volume': 6162420.888600008}"
1722470459.842,1722470637.0358,"{'delta': 1557538.6083999977, 'trade_count': 2104, 'buy_trade_count': 1399, 'sell_trade_count': 705, 'val': 64650, 'vah': 64650, 'poc': 64650, 'poc_idx': 1, 'poc_volume': 7094501, 'total_volume': 10003869.975000035, 'bid_volume': 5779410.787700007, 'ask_volume': 4221356.184099997}"
1722470637.0358,1722470817.6006,"{'delta': 8285950.777200003, 'trade_count': 1883, 'buy_trade_count': 1319, 'sell_trade_count': 564, 'val': 64700, 'vah': 64750, 'poc': 64750, 'poc_idx': 2, 'poc_volume': 6337637, 'total_volume': 11802094.599399976, 'bid_volume': 10021123.846699996, 'ask_volume': 1758007.236400002}"
1722470817.6006,1722470891.3386,"{'delta': -78692.20949999431, 'trade_count': 1187, 'buy_trade_count': 614, 'sell_trade_count': 573, 'val': 64650, 'vah': 64750, 'poc': 64750, 'poc_idx': 2, 'poc_volume': 5504589, 'total_volume': 10004219.972300004, 'bid_volume': 4954669.955700006, 'ask_volume': 5040614.7416}"
1722470891.3386,1722471240.805,"{'delta': 150301.0817000033, 'trade_count': 3259, 'buy_trade_count': 1465, 'sell_trade_count': 1794, 'val': 64650, 'vah': 64750, 'poc': 64750, 'poc_idx': 3, 'poc_volume': 2652642, 'total_volume': 10047279.22290001, 'bid_volume': 5096912.5177, 'ask_volume': 4945126.970400006}"
1722471240.805,1722471432.8484,"{'delta': -417691.15480000275, 'trade_count': 1786, 'buy_trade_count': 962, 'sell_trade_count': 824, 'val': 64600, 'vah': 64650, 'poc': 64600, 'poc_idx': 0, 'poc_volume': 4881827, 'total_volume': 10000970.441799993, 'bid_volume': 4787956.401299994, 'ask_volume': 5208554.689899998}"
1722471433.0417,1722471800.6899,"{'delta': -2592515.4581999737, 'trade_count': 2858, 'buy_trade_count': 1241, 'sell_trade_count': 1617, 'val': 64600, 'vah': 64650, 'poc': 64650, 'poc_idx': 1, 'poc_volume': 5713065, 'total_volume': 10005516.836999925, 'bid_volume': 3706436.0132999937, 'ask_volume': 6298757.5130000105}"
1722471800.6899,1722471893.1478,"{'delta': -6997714.207999996, 'trade_count': 1871, 'buy_trade_count': 421, 'sell_trade_count': 1450, 'val': 64550, 'vah': 64600, 'poc': 64550, 'poc_idx': 0, 'poc_volume': 5260269, 'total_volume': 10031343.606199985, 'bid_volume': 1506094.2181000006, 'ask_volume': 8514528.907099985}"
1722471893.1478,1722471979.9776,"{'delta': -3782221.7524999967, 'trade_count': 1439, 'buy_trade_count': 457, 'sell_trade_count': 982, 'val': 64550, 'vah': 64550, 'poc': 64550, 'poc_idx': 0, 'poc_volume': 9722780, 'total_volume': 10015635.148100013, 'bid_volume': 3112703.0478, 'ask_volume': 6867223.156400003}"
1722471979.985,1722472033.6451,"{'delta': -3737529.446199996, 'trade_count': 1367, 'buy_trade_count': 398, 'sell_trade_count': 969, 'val': 64500, 'vah': 64550, 'poc': 64500, 'poc_idx': 0, 'poc_volume': 6578780, 'total_volume': 10016403.254800003, 'bid_volume': 3139436.9043000005, 'ask_volume': 6875804.882499995}"
1722472033.6451,1722472041.7237,"{'delta': -8913329.952200007, 'trade_count': 2170, 'buy_trade_count': 138, 'sell_trade_count': 2032, 'val': 64500, 'vah': 64500, 'poc': 64500, 'poc_idx': 1, 'poc_volume': 9654231, 'total_volume': 10001095.589399999, 'bid_volume': 543237.7826000003, 'ask_volume': 9457148.2959}"
1722472041.7237,1722472043.0746,"{'delta': -7692712.563200005, 'trade_count': 1347, 'buy_trade_count': 223, 'sell_trade_count': 1124, 'val': 64450, 'vah': 64450, 'poc': 64450, 'poc_idx': 0, 'poc_volume': 9944015, 'total_volume': 10064920.00099999, 'bid_volume': 1186103.7189000011, 'ask_volume': 8877913.671199985}"
1722472043.0746,1722472043.1332,"{'delta': -9137963.42790006, 'trade_count': 1985, 'buy_trade_count': 145, 'sell_trade_count': 1840, 'val': 64400, 'vah': 64450, 'poc': 64400, 'poc_idx': 0, 'poc_volume': 5328447, 'total_volume': 10007522.937100075, 'bid_volume': 434779.75459999987, 'ask_volume': 9507648.233500067}"
1722472043.1334,1722472043.4255,"{'delta': -2810554.1127000023, 'trade_count': 1668, 'buy_trade_count': 552, 'sell_trade_count': 1116, 'val': 64350, 'vah': 64400, 'poc': 64350, 'poc_idx': 0, 'poc_volume': 5143098, 'total_volume': 10014247.459699992, 'bid_volume': 3601524.622499995, 'ask_volume': 6412336.411300003}"
1722472043.4255,1722472044.6457,"{'delta': -3868798.869600004, 'trade_count': 844, 'buy_trade_count': 408, 'sell_trade_count': 436, 'val': 64400, 'vah': 64400, 'poc': 64400, 'poc_idx': 0, 'poc_volume': 7299352, 'total_volume': 10026490.167600008, 'bid_volume': 3073502.158800001, 'ask_volume': 6947515.666200002}"
1722472044.6521,1722472051.8027,"{'delta': -4466095.737199801, 'trade_count': 1954, 'buy_trade_count': 402, 'sell_trade_count': 1552, 'val': 64500, 'vah': 64500, 'poc': 64500, 'poc_idx': 1, 'poc_volume': 7114980, 'total_volume': 10000236.231799718, 'bid_volume': 2767070.247300001, 'ask_volume': 7232908.140699785}"
1722472051.8027,1722472073.2644,"{'delta': -352820.7726000004, 'trade_count': 1084, 'buy_trade_count': 525, 'sell_trade_count': 559, 'val': 64450, 'vah': 64500, 'poc': 64450, 'poc_idx': 0, 'poc_volume': 6458369, 'total_volume': 10118422.304399988, 'bid_volume': 4882800.765900005, 'ask_volume': 5233106.873800003}"
1722472073.2659,1722472097.5103,"{'delta': 5026009.439600023, 'trade_count': 1512, 'buy_trade_count': 1152, 'sell_trade_count': 360, 'val': 64550, 'vah': 64600, 'poc': 64550, 'poc_idx': 2, 'poc_volume': 5019396, 'total_volume': 10002454.027599968, 'bid_volume': 7505399.298699997, 'ask_volume': 2488222.293999998}"
1722472097.5103,1722472103.1774,"{'delta': -2311405.3321999894, 'trade_count': 1833, 'buy_trade_count': 1099, 'sell_trade_count': 734, 'val': 64550, 'vah': 64600, 'poc': 64550, 'poc_idx': 0, 'poc_volume': 5025140, 'total_volume': 10030191.776400007, 'bid_volume': 3859393.2220999985, 'ask_volume': 6169571.424899999}"
1722472103.1797,1722472123.4784,"{'delta': 8413382.214299992, 'trade_count': 1518, 'buy_trade_count': 1375, 'sell_trade_count': 143, 'val': 64650, 'vah': 64700, 'poc': 64700, 'poc_idx': 2, 'poc_volume': 4519141, 'total_volume': 10000937.767899996, 'bid_volume': 9204899.172799991, 'ask_volume': 793777.7768000002}"
1722472123.4784,1722472128.5828,"{'delta': 8968253.392, 'trade_count': 623, 'buy_trade_count': 542, 'sell_trade_count': 81, 'val': 64700, 'vah': 64700, 'poc': 64700, 'poc_idx': 1, 'poc_volume': 8620622, 'total_volume': 10023790.7124, 'bid_volume': 9471773.070199998, 'ask_volume': 527768.6601999997}"
1722472128.5828,1722472204.7809,"{'delta': -3164528.7956999983, 'trade_count': 1620, 'buy_trade_count': 628, 'sell_trade_count': 992, 'val': 64550, 'vah': 64650, 'poc': 64550, 'poc_idx': 1, 'poc_volume': 4146572, 'total_volume': 10065786.225699985, 'bid_volume': 3420682.5695000025, 'ask_volume': 6602961.474100001}"
1722472204.7809,1722472354.8098,"{'delta': 2908317.233499993, 'trade_count': 2803, 'buy_trade_count': 1699, 'sell_trade_count': 1104, 'val': 64550, 'vah': 64650, 'poc': 64600, 'poc_idx': 1, 'poc_volume': 3341805, 'total_volume': 10025948.477900026, 'bid_volume': 6458157.6119000055, 'ask_volume': 3558815.622200006}"
1722472354.8098,1722472493.8923,"{'delta': -1841272.4934000014, 'trade_count': 1622, 'buy_trade_count': 993, 'sell_trade_count': 629, 'val': 64700, 'vah': 64700, 'poc': 64700, 'poc_idx': 1, 'poc_volume': 7296212, 'total_volume': 10030391.272599995, 'bid_volume': 4093912.4906000094, 'ask_volume': 5934538.389}"
1722472493.8923,1722472666.8795,"{'delta': -305778.3843999986, 'trade_count': 2548, 'buy_trade_count': 1537, 'sell_trade_count': 1011, 'val': 64750, 'vah': 64750, 'poc': 64750, 'poc_idx': 1, 'poc_volume': 7185227, 'total_volume': 10002594.262000019, 'bid_volume': 4847242.0368000055, 'ask_volume': 5137690.883199999}"
